0x815a7c1283c802c61933d3fe6f86f6a890443f84 CoolToken 42/ari 33/ari  
0x850fa1bea96a3e8de25b747a27f0d507df06728a StandardToken 56/ari 66/ari 
0x904c557d64007a8df6884b7e0b43f675cee012c7 BerithCoin 80/ari 89/ari 
0x912e73f5886edc24657d245ab7608cebcf40d1dc BNTToken 76/ari 86/ari 
0x917dbc59331fb1d70e51d46f3d1907e8978aafc3 latinotoken 105/ari 95/ari 
0x997a9ad5e6b2cf8841538b95ba8d5c367316eb98 Movieum 100/ari 90/ari 
0x999d6eec907bd2230e67aa9118f8937cdefba5a3 StandardToken 56/ari 66/ari 
0x1114cb441b5b4c424b7ff350910ed0f079768e19 StandardToken 56/ari 66/ari 
0x1575b4b53ea8278db2957d48a579dca9caabb965 PeachToken 48/ari 36/ari 
0x1660ef71da631bf8b8bf5656f49bc635c97dfc1c Coinquer 170/ari 152/ari 210/ari 211/ari 
0x1660ef71da631bf8b8bf5656f49bc635c97dfc1c TokenERC20 170/ari 152/ari 78/ari 71/ari 
0x1715bdcdba23a97ad4093a383199dadd185c0f2b StandardToken 54/ari 44/ari 
0x2300ae45666d9b1bb6a0208a77ce46ab996316a9 Gath 128/ari 146/ari 54/ari 47/ari 
0x2405cc17ba128bfa7117815e04a4da228013f5bc Bananas 32/ari 41/ari 
0x2771ef07defb079c309542e11219d97b562ab6b0 AVL 42/ari 62/ari 
0x2771ef07defb079c309542e11219d97b562ab6b0 Avalanche 181/ari 62/ari 150/ari 225/ari 223/ari 
0x3687fa8ed163308745284fc85ec7f5c3f79c466c livepayToken 127/ari 145/ari 46/ari 53/ari 
0x4038c19696df4d963af1d95b1c5f9417b98ae6db StandardToken 35/ari 26/ari  
0x4055ce7003525c966beff40cfe6f04ab4c0dd82f StandardToken 62/ari 72/ari 
0x4094a00de30572d4ebfc744717dbe7e65d8b0ac9 StandardToken 56/ari 66/ari 
0x4212fea9fec90236ecc51e41e2096b16ceb84555 StandardToken 45/ari 34/ari  
0x4634f582197e9cb1d80fb98cdbb5e5ccaecd1bd8 StandardToken 56/ari 66/ari 
0x5214bb7091494f74780717e6fd4747dd9caf5af7 MyAdvancedToken 141/ari 142/ari 
0x5849de6c1e13c671f462baf37d7defde1a49cbf0 SpaceChain 88/ari 79/ari 
0x8587d284f2cdb717a156729b545d001f8bbb1594 TriipBooking 124/ari 135/ari 
0x9774c32508040aaa5647e7e7a1d000f5d53aa0bb StandardToken 56/ari 66/ari 
0x14338e7e14861c68984e5d5da191c31dd3309945 Collectorcoin 48/ari 55/ari 
0x14338e7e14861c68984e5d5da191c31dd3309945 StandardToken 48/ari 55/ari 
0x25587c25f1c7f245b5d419dbdf14f497ac5dce1b MyAdvancedToken 170/ari 152/ari 214/ari 213/ari 
0x25587c25f1c7f245b5d419dbdf14f497ac5dce1b TokenERC20 170/ari 152/ari 78/ari 71/ari 
0x28577a6d31559bd265ce3adb62d0458550f7b8a7 CCCToken 135/ari 117/ari 
0x30181c9c30d9b54ccf4ca9f295fa1dee807f36fc Cornerstone 550/ari 568/ari 469/ari 476/ari 
0x30181c9c30d9b54ccf4ca9f295fa1dee807f36fc MyAdvancedToken 550/ari 568/ari 609/ari 610/ari 
0x54920ecbaadb81cfcd12cf3f8d971686fe95b269 Jobscoin 194/ari 176/ari 78/ari 102/ari 95/ari 79/ari 
0x62191e09fa1f0ebcad7e10dab011c2393d7315aa StandardToken 64/ari 56/ari 
0x66803a2fc3bf02ad16809637756a68586276be16 MyToken 84/ari 93/ari 
0x78018b2e6d68f2e044474b147b0238fbf5e5f409 TokenERC20 156/ari 138/ari 57/ari 64/ari 
0x81094bf188e07a826fda71040118a38c36a1263a StandardToken 56/ari 66/ari 
0x82830a06a648b5f23b5717f4e2a8e2a619bda60c StandardToken 56/ari 66/ari 
0x88033f1c6445e9503824e643139e8adc3f4151c9 StandardToken 59/ari 69/ari 
0x93713bf12ba1bb55edf94298a302a8fc9d118086 StandardToken 64/ari 54/ari 
0x99488a16a42e4b119ea3cfa13ff1a69392cae448 TokenERC20 135/ari 153/ari 61/ari 54/ari 
0x118770fae5b614552b85fdb5297eb3ed5b5eccdd TokenERC20 146/ari 164/ari 72/ari 65/ari 
0x118770fae5b614552b85fdb5297eb3ed5b5eccdd XYZToken 146/ari 164/ari 204/ari 205/ari 
0x142020a28b22f7e68a9d8f9e9d24c43a2572a8cd StandardToken 53/ari 63/ari 
0x208515cd788fd8de349c0d27210ab9b53aec76e0 ILMTToken 95/ari 55/ari 59/ari 
0x208515cd788fd8de349c0d27210ab9b53aec76e0 Illuminati 95/ari 125/ari 126/ari 
0x494915babe0763b08498093b807417e0ab68b875 TokenERC20 135/ari 153/ari 61/ari 54/ari 
0x555636dbc591d418ea9aabfd6abcce57740d14ac StandardToken 78/ari 90/ari 
0x563383b56367ff2afffe5c6bcf9187bbe52d40ad MyToken 76/ari  
0x925439e1e328cca9335fa6ff1b60f4c99fb35044 MyAdvancedToken 170/ari 152/ari 214/ari 213/ari 
0x925439e1e328cca9335fa6ff1b60f4c99fb35044 TokenERC20 170/ari 152/ari 78/ari 71/ari 
0x1207279f443020e7719613dec54738c575999460 StandardToken 56/ari 66/ari 
0x1935709ca4246660202f09bf2794d13546c90ecb MyAdvancedToken 170/ari 152/ari 214/ari 213/ari 
0x1935709ca4246660202f09bf2794d13546c90ecb TokenERC20 170/ari 152/ari 78/ari 71/ari 
0x3198042f316b8c9e9e7f623c3576f4749047bc27 StandardToken 56/ari 66/ari 
0x3879717b92284fd4103585af2ec5d34494cfee57 AngleChain30 53/ari 60/ari 
0x3879717b92284fd4103585af2ec5d34494cfee57 MyAdvancedToken 120/ari 121/ari 
0x4523351ffb38850978e4e36250bfb452ba4a1241 StandardToken 101/ari 91/ari 
0x7126932c04cd3ea8edbb1026826f1b351a84f1e9 StandardToken 56/ari 66/ari 
0x12759512d326303b45f1cec8f7b6fd96f387778e StandardToken 109/ari 
0x30765406d51091ed78ff13c107731daf3be5ef16 StandardToken 80/ari 90/ari 
0x48980227f694210e814b9ca0a156aa9962915a2f AeternumLibertarianFoundationToken 135/ari 153/ari 61/ari 54/ari 
0x052874643c388bb2ae101f25e41e1f1778f61364 StandardToken 64/ari 54/ari 
0x804127525ba898fdca0f5fea9cee4ea2988d3ea7 MyAdvancedToken 170/ari 152/ari 214/ari 213/ari 
0x804127525ba898fdca0f5fea9cee4ea2988d3ea7 TokenERC20 170/ari 152/ari 78/ari 71/ari 
0x941995615e760a95a684513f5ffb12f16a343aae MyToken 108/ari 98/ari 
0x993551184c994737dada24d6a0c6b54ee0196971 RETHToken 71/ari 61/ari 35/ari 39/ari 
0x248044753872e64c288b35b0e71e8b29222e3ab8 HunterCoin 73/ari 83/ari 35/ari 45/ari 34/ari 
0x802216857760c60d78f34b7f7d7ec9cc6af3bfed tickets 194/ari 176/ari 102/ari 78/ari 79/ari 95/ari 
0xa0ece74981af3ed84d4659fe1f469e7c47e5ed33 StandardToken 64/ari 54/ari 
0xa2b6d9e310893c24fa61129e92070b9b40d02016 RoyalForkToken 184/ari 187/ari 
0xa03c4cc1ddaa55e65c9421b9be8ef25fb68b08a5 StandardToken 58/ari 50/ari 
0xa4cfe48051a2bd9ef5b380f274762928a3767d9d StandardToken 56/ari 66/ari 
0xa05c48fff5da158edd45df5659ca2f3d55509a6b StandardToken 56/ari 66/ari 
0xa6c9e4d4b34d432d4aea793fa8c380b9940a5279 StandardToken 82/ari 72/ari
0xa6d33a29261875e29644403cbcddc4a6a76f19b8 StandardToken 56/ari 66/ari 
0xa6de8245126a38dd26c6b5e6f590ecc70e5a962b testmoneda 96/ari 106/ari 
0xa7a3de21f9505eaa8a4d34ae2d5497f8d5df35c2 EXGROUP 170/ari 152/ari 203/ari 204/ari 
0xa7a3de21f9505eaa8a4d34ae2d5497f8d5df35c2 TokenERC20 170/ari 152/ari 78/ari 71/ari 
0xa8e3119de0e1b19facba457ea2a241afd644ea7d StandardToken 56/ari 66/ari 
0xa44f624bec478a0852f5a1fd14bf59eca604a0c1 StandardToken 56/ari 66/ari 
0xa715ea6233f000d2a0ac06da7d3bead4539475aa StandardToken 56/ari 66/ari 
0xa894ce1a33725345b8d6f3455b0d4ef3642d124c StandardToken 46/ari 56/ari  
0xa3735d41ffddd5abe07386ce07b1b1fbd9067aad StandardToken 35/ari 27/ari  
0xa9746320994fc606e704b76cc1c51a9b85bc5215 StandardToken 56/ari 66/ari 
0xaa2d807e8a63b6de146767151f7ef4be36ff31d7 TokenERC20 137/ari 155/ari 63/ari 56/ari 
0xaa6da59f02ac6335ff0dbb896323181a8431a675 TokenERC20 94/ari 84/ari 50/ari 54/ari 
0xaa1623f45f1f3830d543501e244c80f40cb43676 StandardToken 56/ari 66/ari 
0xaacb7f3d04434fcf058354ecb9874e77f197b3b2 StandardToken 56/ari 66/ari 
0xac44b0c61c20c5063e22d3a0ff67f13afdfed103 IncentCoffeeToken 97/ari 121/ari 
0xac431d03f2c3558f0631ace607593fc719dab88b Galaxycoin 107/ari 93/ari 35/ari 39/ari 
0xac3643e49477e1ed6bba2c861c74a410911038ba StandardToken 56/ari 66/ari 
0xaca43f6ff5185b0dafa0e2791756891f6dbe1ce5 StandardToken 63/ari 53/ari 
0xad917a1043c78c5798a8f244944c741b3bb74803 PinZhiCoin 78/ari 87/ari  
0xae6e3c7160af3c1f524572e5b29c81e6ff061d90 UquidCoin 56/ari 66/ari 
0xae65f7f91a03eb7e5a978625a59d6495f72ae774 Toorr 45/ari 46/ari 45/ari 46/ari 
0xae6e3c7160af3c1f524572e5b29c81e6ff061d90 ERC20Token 56/ari 66/ari 
0xae6e3c7160af3c1f524572e5b29c81e6ff061d90 UquidCoin 56/ari 66/ari 
0xae65f7f91a03eb7e5a978625a59d6495f72ae774 Toorr 45/ari 46/ari 45/ari 46/ari 
0xaf22b84e6615ed80e37e07af8307365cb0cf987a Acme 87/ari 39/ari 
0xaf22b84e6615ed80e37e07af8307365cb0cf987a Token 31/ari 39/ari 
0xafdbe2bf55c73812da0348ab42543792c9cd1c4a StandardToken 56/ari 66/ari 
0xb0a670a1cd2ac6b3ca0f7b7d749d322874112747 UrgotsToken 45/ari 46/ari 45/ari 46/ari 
0xb0ea8da75cb8695d2519d12f5f2bfafd15a29514 StandardToken 31/ari 38/ari 
0xb1f5a772338aed64b444d32b3d072b12e67bd742 IssuerWithId 283/ari 
0xb3c2373cdf4d6f15a907902bebb0396db9a10285 MyToken 95/ari 105/ari 
0xb4ca4689805aea93be2907a95e1dcc4bfd12420b MyOffer 161/ari 160/ari 
0xb9b4cfe4194d7e8511aa9b9f1260bc7b9634249e PreICOToken 128/ari 132/ari 136/ari 
0xb41b531359330d76bbcb0f1a24f94ff6bff30dc1 CNet5G 66/ari 28/ari 65/ari 36/ari 
0xb3203db25a01fa7950a860b42b899ad7da52ddd6 PlexCoin 83/ari 92/ari 
0xb8030a590600aab59551a9e673e0e487826226fd StandardToken 33/ari 41/ari 
0xb494708c960af46e893f855014434ed9d24842ad StandardToken 46/ari 56/ari 
0xbba87eea33068150daf68bd3423d9e64523a0935 TokenERC20 135/ari 153/ari 61/ari 54/ari 
0xbe2c5643404bb66043f4ca7485e6dc6ffe866509 TokenERC20 150/ari 132/ari 58/ari 51/ari 
0xbe242e4075ff099dd2ffaca6e69d49916a1f667b StandardToken 64/ari 54/ari 
0xbec8f6d667594fb181c9d68e5c80c910888be93d StandardToken 56/ari 66/ari 
0xc00f7746c5c3ce7616d0aa35607658e547306dc0 TokenERC20 170/ari 152/ari 77/ari 70/ari 
0xc0bd05407fbe1fb6461ce6f33e487a573551b927 ERC20Standard 37/ari 31/ari  
0xc1d813fa26f04035b73e3770ed18ba5ecef3e17f Z1Coin 441/ari 465/ari 
0xc5c6901ce205c6668757cf51a736577624dc78d5 AICoreCoin 100/ari 90/ari 
0xc28c2a4266f76fec6ac90aabcc17b3aee3b958d1 MitCoin 78/ari 87/ari 
0xc49a91da93be9c0d75a085fb21bd042ec07c64e7 StandardToken 72/ari 82/ari 
0xc57c83b736b70c1cafe60b9303b46f8b3f819fba StandardToken 56/ari 66/ari 
0xc63c6e1f230e04754ca8c5e139254715be341b1d StandardToken 66/ari 56/ari 
0xc69f34a2c9cc16a48c2f12620c68837529d3b4ca StandardToken 54/ari 64/ari 
0xc87ab9904a14c7f264bfc4483ceeb2b0e811e01a StandardToken 56/ari 66/ari 
0xc347b4a8c4e2d86ee039ef0caa5f8b2b54c64b2b TokenERC20 140/ari 129/ari 70/ari 77/ari 
0xc542d8e73cbc88cd810976824a5b7feef50d32bd StandardToken 56/ari 66/ari 
0xc789bc5fd3941ef07205f2ee4fa99ae0be1db85a StandardToken 56/ari 66/ari 
0xc2221b777857f4a862a8c528d24b35cc995dd8b1 ClipperCoin 346/ari 358/ari 
0xc2221b777857f4a862a8c528d24b35cc995dd8b1 StandardToken 172/ari 182/ari 
0xc05280c28722753942a4b0d35a9c7f527c897e23 TokenERC20 158/ari 176/ari 84/ari 77/ari 
0xc52694e7832594f2aaf2536c777024fb5c1ae9da Crowdnext 142/ari 141/ari  
0xc78593c17482ea5de44fdd84896ffd903972878e StandardToken 56/ari 66/ari 
0xc0289015dfc96c1a141ce742f9e36edfb72cbc8d SYNTH 52/ari 
0xc816463eb290e47ff512c04121142d1d85a3cdc2 NigerTokenICO 102/ari 101/ari 
0xcbbe432d9f844e5548e9053af0348e3779259fd1 StandardToken 84/ari 94/ari 
0xcbd619e2a77182353dbae59000275c7c81d6f615 IntI 157/ari 139/ari 63/ari 56/ari 
0xcd3ffb25b68ff530c8a9b24597aaeacbf3ff4854 StandardToken 56/ari 66/ari 
0xce58d27fd266e63c4055ce1b77c6fd6e0a74190b etktokens 176/ari 194/ari 79/ari 102/ari 78/ari 95/ari
0xce7382bf7f277a2b661aaf71408ac65b287305a0 Maccabi 161/ari 173/ari 163/ari 
0xd0c65688fca8524bfda85b5e76cefb01157eee4e HextracoinToken 56/ari 66/ari
0xd0f51907e541e63ec338e0e210dc33a6c7871096 StandardToken 64/ari 54/ari 
0xd5cd8b678360ccc6e026d575d5ea801466d2b114 GoodBit 87/ari 78/ari 
0xd7d70f1dda2d629b2b02d449aaf2296d41de3c35 Bittle 82/ari 72/ari  
0xd48f1040ab98ed94dc9419402b98b7d94b046bbe StandardToken 56/ari 66/ari 
0xd87b826b21e9234df37e0d72510c1a58321a6478 TokenERC20 153/ari 135/ari 54/ari 61/ari 
0xd95bf36bc80f2eea5d7b8363af08c87c55d42083 MyToken 83/ari 92/ari 
0xdbf3bf0c3ff7d43769d5150daa90f0014a0e2c4c StandardToken 35/ari 27/ari 
0xdc926b36b7faadaa1daa1c8bfb60b6e7a88fadae IdeaCoin 194/ari 176/ari 102/ari 79/ari 95/ari 78/ari 
0xdd9d8772c42c1bedd9d0c58851df63a8d1493dc1 SmartToken 426/ari 402/ari 
0xdd70d5b71cf5dc8ddf3034f311eb350475a53eed StandardToken 56/ari 66/ari
0xddb5e48b20573a3e027e76c06733dd7e92eaa213 StandardToken 72/ari 82/ari 
0xde115bd181400de3140719417164f838605f3f34 CCCToken 117/ari 135/ari 
0xdfdddad408d84e1f51c00afcb7d72d2635500c19 StandardToken 59/ari 51/ari   
0xdff21104db924b789377617ca3e28e5f410df720 StandardToken 56/ari 66/ari 
0xe00e451da1ab65beab172ef6055293c53a2c4507 StandardToken 186/ari 177/ari 
0xe2fa3d7b292c216390abad4c625d5f2524b85a1f ETHEREUMBLACK 142/ari 141/ari 
0xe3eeb1be813f81c04979f8d0b5d2012da78da0c8 PoliticoinToken 170/ari 152/ari 214/ari 213/ari 
0xe3eeb1be813f81c04979f8d0b5d2012da78da0c8 TokenERC20 170/ari 152/ari 78/ari 71/ari 
0xe5afc5c92c8a789cad1cc41189e3fd370478a97e StandardToken 56/ari 66/ari 
0xe5e8fe988702166aee3ca05f793d50140480bdd8 StandardToken 56/ari 66/ari 
0xe54bd50a40089d71d1e43886f74c0eee8806b971 ERC20Standard 32/ari 38/ari 
0xe54bd50a40089d71d1e43886f74c0eee8806b971 ElevenEleven 87/ari 32/ari 38/ari 
0xe58b85c5eb752a575dd1dce6c4e146a855196dcb CON0217 77/ari 78/ari 
0xe0136b9ba1a5d5f87899bf8bdba6c83bddee98ce StandardToken 56/ari 66/ari 
0xe256bb0b2a3457e54db3a41cf5a8b826aca222a8 Arexium 83/ari 92/ari 
0xe365b3d6cd69aa6e530c9b5a4b22aa10892273cb StandardToken 56/ari 66/ari 
0xe771d80fdf3a08f15942af54fce5ce29737321ff StandardToken 56/ari 66/ari 
0x6292cec07c345c6c6953e9166324f58db6d9f814 ComBillToken 88/ari 98/ari 51/ari 55/ari 
0x6631a18915303d20678bc38af589a6391bba9fd8 StandardToken 56/ari 66/ari 
0xe5faf5c077fe103137bfaeff614804f282d0c344 TokenHEL20 156/ari 174/ari 66/ari 79/ari 
0x7060ca51d704ba9962fc7c8639cc3cd5b0d9c478 StandardToken 32/ari 40/ari 
0x0d7613cd6b6681928ade30c4fd3ebcc2c2f68621 StandardToken 35/ari 44/ari 
0x0fc2d0bbb7e5a9964d0cd829e242d434dde4c1c7 StandardToken 56/ari 66/ari 
0x01c12862d3a02b4bb8a02f0b145255823b36a6ee StandardToken 56/ari 66/ari 
0x1a06ec307215524850152b139976f5a4e6079175 StandardToken 52/ari 62/ari  
0x1b829881cc23f41383de1c2564da64fa97e4d896 StandardToken 56/ari 66/ari 
